"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTINT","TOT","PC_PA","Q","1995-Q1",10.20627,
"AUS","LTINT","TOT","PC_PA","Q","1995-Q2",9.2537,
"AUS","LTINT","TOT","PC_PA","Q","1995-Q3",8.964148,
"AUS","LTINT","TOT","PC_PA","Q","1995-Q4",8.419457,
"AUS","LTINT","TOT","PC_PA","Q","1996-Q1",8.389683,
"AUS","LTINT","TOT","PC_PA","Q","1996-Q2",8.879146,
"AUS","LTINT","TOT","PC_PA","Q","1996-Q3",8.224299,
"AUS","LTINT","TOT","PC_PA","Q","1996-Q4",7.3437,
"AUS","LTINT","TOT","PC_PA","Q","1997-Q1",7.584174,
"AUS","LTINT","TOT","PC_PA","Q","1997-Q2",7.583118,
"AUS","LTINT","TOT","PC_PA","Q","1997-Q3",6.534975,
"AUS","LTINT","TOT","PC_PA","Q","1997-Q4",6.117407,
"AUS","LTINT","TOT","PC_PA","Q","1998-Q1",5.852667,
"AUS","LTINT","TOT","PC_PA","Q","1998-Q2",5.633413,
"AUS","LTINT","TOT","PC_PA","Q","1998-Q3",5.501928,
"AUS","LTINT","TOT","PC_PA","Q","1998-Q4",4.983874,
"AUS","LTINT","TOT","PC_PA","Q","1999-Q1",5.318139,
"AUS","LTINT","TOT","PC_PA","Q","1999-Q2",5.813293,
"AUS","LTINT","TOT","PC_PA","Q","1999-Q3",6.272424,
"AUS","LTINT","TOT","PC_PA","Q","1999-Q4",6.633391,
"AUS","LTINT","TOT","PC_PA","Q","2000-Q1",6.901983,
"AUS","LTINT","TOT","PC_PA","Q","2000-Q2",6.300913,
"AUS","LTINT","TOT","PC_PA","Q","2000-Q3",6.175162,
"AUS","LTINT","TOT","PC_PA","Q","2000-Q4",5.880219,
"AUS","LTINT","TOT","PC_PA","Q","2001-Q1",5.285803,
"AUS","LTINT","TOT","PC_PA","Q","2001-Q2",5.805817,
"AUS","LTINT","TOT","PC_PA","Q","2001-Q3",5.808712,
"AUS","LTINT","TOT","PC_PA","Q","2001-Q4",5.560726,
"AUS","LTINT","TOT","PC_PA","Q","2002-Q1",6.037694,
"AUS","LTINT","TOT","PC_PA","Q","2002-Q2",6.172283,
"AUS","LTINT","TOT","PC_PA","Q","2002-Q3",5.647969,
"AUS","LTINT","TOT","PC_PA","Q","2002-Q4",5.517885,
"AUS","LTINT","TOT","PC_PA","Q","2003-Q1",5.238139,
"AUS","LTINT","TOT","PC_PA","Q","2003-Q2",5.058995,
"AUS","LTINT","TOT","PC_PA","Q","2003-Q3",5.423276,
"AUS","LTINT","TOT","PC_PA","Q","2003-Q4",5.746692,
"AUS","LTINT","TOT","PC_PA","Q","2004-Q1",5.578812,
"AUS","LTINT","TOT","PC_PA","Q","2004-Q2",5.868857,
"AUS","LTINT","TOT","PC_PA","Q","2004-Q3",5.570985,
"AUS","LTINT","TOT","PC_PA","Q","2004-Q4",5.344444,
"AUS","LTINT","TOT","PC_PA","Q","2005-Q1",5.467404,
"AUS","LTINT","TOT","PC_PA","Q","2005-Q2",5.300068,
"AUS","LTINT","TOT","PC_PA","Q","2005-Q3",5.198432,
"AUS","LTINT","TOT","PC_PA","Q","2005-Q4",5.393989,
"AUS","LTINT","TOT","PC_PA","Q","2006-Q1",5.272268,
"AUS","LTINT","TOT","PC_PA","Q","2006-Q2",5.689188,
"AUS","LTINT","TOT","PC_PA","Q","2006-Q3",5.736325,
"AUS","LTINT","TOT","PC_PA","Q","2006-Q4",5.653708,
"AUS","LTINT","TOT","PC_PA","Q","2007-Q1",5.807896,
"AUS","LTINT","TOT","PC_PA","Q","2007-Q2",6.011781,
"AUS","LTINT","TOT","PC_PA","Q","2007-Q3",6.022596,
"AUS","LTINT","TOT","PC_PA","Q","2007-Q4",6.135811,
"AUS","LTINT","TOT","PC_PA","Q","2008-Q1",6.15216,
"AUS","LTINT","TOT","PC_PA","Q","2008-Q2",6.370742,
"AUS","LTINT","TOT","PC_PA","Q","2008-Q3",5.95831,
"AUS","LTINT","TOT","PC_PA","Q","2008-Q4",4.790564,
"AUS","LTINT","TOT","PC_PA","Q","2009-Q1",4.222159,
"AUS","LTINT","TOT","PC_PA","Q","2009-Q2",5.024317,
"AUS","LTINT","TOT","PC_PA","Q","2009-Q3",5.448237,
"AUS","LTINT","TOT","PC_PA","Q","2009-Q4",5.463333,
"AUS","LTINT","TOT","PC_PA","Q","2010-Q1",5.551667,
"AUS","LTINT","TOT","PC_PA","Q","2010-Q2",5.534167,
"AUS","LTINT","TOT","PC_PA","Q","2010-Q3",5.039166,
"AUS","LTINT","TOT","PC_PA","Q","2010-Q4",5.339167,
"AUS","LTINT","TOT","PC_PA","Q","2011-Q1",5.521667,
"AUS","LTINT","TOT","PC_PA","Q","2011-Q2",5.3325,
"AUS","LTINT","TOT","PC_PA","Q","2011-Q3",4.571667,
"AUS","LTINT","TOT","PC_PA","Q","2011-Q4",4.0925,
"AUS","LTINT","TOT","PC_PA","Q","2012-Q1",3.971667,
"AUS","LTINT","TOT","PC_PA","Q","2012-Q2",3.376667,
"AUS","LTINT","TOT","PC_PA","Q","2012-Q3",3.055833,
"AUS","LTINT","TOT","PC_PA","Q","2012-Q4",3.1125,
"AUS","LTINT","TOT","PC_PA","Q","2013-Q1",3.469167,
"AUS","LTINT","TOT","PC_PA","Q","2013-Q2",3.336667,
"AUS","LTINT","TOT","PC_PA","Q","2013-Q3",3.87,
"AUS","LTINT","TOT","PC_PA","Q","2013-Q4",4.113333,
"AUS","LTINT","TOT","PC_PA","Q","2014-Q1",4.133333,
"AUS","LTINT","TOT","PC_PA","Q","2014-Q2",3.836667,
"AUS","LTINT","TOT","PC_PA","Q","2014-Q3",3.476667,
"AUS","LTINT","TOT","PC_PA","Q","2014-Q4",3.18,
"AUS","LTINT","TOT","PC_PA","Q","2015-Q1",2.54,
"AUS","LTINT","TOT","PC_PA","Q","2015-Q2",2.756667,
"AUS","LTINT","TOT","PC_PA","Q","2015-Q3",2.773333,
"AUS","LTINT","TOT","PC_PA","Q","2015-Q4",2.773333,
"AUS","LTINT","TOT","PC_PA","Q","2016-Q1",2.593333,
"AUS","LTINT","TOT","PC_PA","Q","2016-Q2",2.32,
"AUS","LTINT","TOT","PC_PA","Q","2016-Q3",1.933333,
"AUS","LTINT","TOT","PC_PA","Q","2016-Q4",2.5,
"AUS","LTINT","TOT","PC_PA","Q","2017-Q1",2.763333,
"AUS","LTINT","TOT","PC_PA","Q","2017-Q2",2.503333,
"AUS","LTINT","TOT","PC_PA","Q","2017-Q3",2.646667,
"AUS","LTINT","TOT","PC_PA","Q","2017-Q4",2.643333,
"AUS","LTINT","TOT","PC_PA","Q","2018-Q1",2.776667,
"AUS","LTINT","TOT","PC_PA","Q","2018-Q2",2.743333,
"AUS","LTINT","TOT","PC_PA","Q","2018-Q3",2.62,
"AUS","LTINT","TOT","PC_PA","Q","2018-Q4",2.596667,
"AUS","LTINT","TOT","PC_PA","Q","2019-Q1",2.12,
"AUS","LTINT","TOT","PC_PA","Q","2019-Q2",1.63,
"AUS","LTINT","TOT","PC_PA","Q","2019-Q3",1.096667,
"AUS","LTINT","TOT","PC_PA","Q","2019-Q4",1.126667,
"AUS","LTINT","TOT","PC_PA","Q","2020-Q1",1.006667,
"AUS","LTINT","TOT","PC_PA","Q","2020-Q2",0.8966666,
"AUS","LTINT","TOT","PC_PA","Q","2020-Q3",0.89,
"AUS","LTINT","TOT","PC_PA","Q","2020-Q4",0.89,
"AUS","LTINT","TOT","PC_PA","Q","2021-Q1",1.363333,
"AUS","LTINT","TOT","PC_PA","Q","2021-Q2",1.623333,
"AUS","LTINT","TOT","PC_PA","Q","2021-Q3",1.223333,
"AUS","LTINT","TOT","PC_PA","Q","2021-Q4",1.71,
"AUS","LTINT","TOT","PC_PA","Q","2022-Q1",2.173333,
"AUS","LTINT","TOT","PC_PA","Q","2022-Q2",3.386667,
"AUS","LTINT","TOT","PC_PA","Q","2022-Q3",3.536667,
"AUS","LTINT","TOT","PC_PA","Q","2022-Q4",3.733333,
"AUS","LTINT","TOT","PC_PA","Q","2023-Q1",3.6,
"AUT","LTINT","TOT","PC_PA","Q","1995-Q1",7.627367,
"AUT","LTINT","TOT","PC_PA","Q","1995-Q2",7.184033,
"AUT","LTINT","TOT","PC_PA","Q","1995-Q3",6.997967,
"AUT","LTINT","TOT","PC_PA","Q","1995-Q4",6.730933,
"AUT","LTINT","TOT","PC_PA","Q","1996-Q1",6.396633,
"AUT","LTINT","TOT","PC_PA","Q","1996-Q2",6.5056,
"AUT","LTINT","TOT","PC_PA","Q","1996-Q3",6.430133,
"AUT","LTINT","TOT","PC_PA","Q","1996-Q4",5.9535,
"AUT","LTINT","TOT","PC_PA","Q","1997-Q1",5.7098,
"AUT","LTINT","TOT","PC_PA","Q","1997-Q2",5.822166,
"AUT","LTINT","TOT","PC_PA","Q","1997-Q3",5.648366,
"AUT","LTINT","TOT","PC_PA","Q","1997-Q4",5.551033,
"AUT","LTINT","TOT","PC_PA","Q","1998-Q1",5.0767,
"AUT","LTINT","TOT","PC_PA","Q","1998-Q2",4.9639,
"AUT","LTINT","TOT","PC_PA","Q","1998-Q3",4.586467,
"AUT","LTINT","TOT","PC_PA","Q","1998-Q4",4.226933,
"AUT","LTINT","TOT","PC_PA","Q","1999-Q1",3.997133,
"AUT","LTINT","TOT","PC_PA","Q","1999-Q2",4.2609,
"AUT","LTINT","TOT","PC_PA","Q","1999-Q3",5.081267,
"AUT","LTINT","TOT","PC_PA","Q","1999-Q4",5.3843,
"AUT","LTINT","TOT","PC_PA","Q","2000-Q1",5.703533,
"AUT","LTINT","TOT","PC_PA","Q","2000-Q2",5.555033,
"AUT","LTINT","TOT","PC_PA","Q","2000-Q3",5.568767,
"AUT","LTINT","TOT","PC_PA","Q","2000-Q4",5.394267,
"AUT","LTINT","TOT","PC_PA","Q","2001-Q1",5.0691,
"AUT","LTINT","TOT","PC_PA","Q","2001-Q2",5.259133,
"AUT","LTINT","TOT","PC_PA","Q","2001-Q3",5.156933,
"AUT","LTINT","TOT","PC_PA","Q","2001-Q4",4.8355,
"AUT","LTINT","TOT","PC_PA","Q","2002-Q1",5.180433,
"AUT","LTINT","TOT","PC_PA","Q","2002-Q2",5.311133,
"AUT","LTINT","TOT","PC_PA","Q","2002-Q3",4.8018,
"AUT","LTINT","TOT","PC_PA","Q","2002-Q4",4.561833,
"AUT","LTINT","TOT","PC_PA","Q","2003-Q1",4.088133,
"AUT","LTINT","TOT","PC_PA","Q","2003-Q2",3.922333,
"AUT","LTINT","TOT","PC_PA","Q","2003-Q3",4.173967,
"AUT","LTINT","TOT","PC_PA","Q","2003-Q4",4.379034,
"AUT","LTINT","TOT","PC_PA","Q","2004-Q1",4.1804,
"AUT","LTINT","TOT","PC_PA","Q","2004-Q2",4.343033,
"AUT","LTINT","TOT","PC_PA","Q","2004-Q3",4.183767,
"AUT","LTINT","TOT","PC_PA","Q","2004-Q4",3.816367,
"AUT","LTINT","TOT","PC_PA","Q","2005-Q1",3.604567,
"AUT","LTINT","TOT","PC_PA","Q","2005-Q2",3.3796,
"AUT","LTINT","TOT","PC_PA","Q","2005-Q3",3.222567,
"AUT","LTINT","TOT","PC_PA","Q","2005-Q4",3.3682,
"AUT","LTINT","TOT","PC_PA","Q","2006-Q1",3.485367,
"AUT","LTINT","TOT","PC_PA","Q","2006-Q2",3.993267,
"AUT","LTINT","TOT","PC_PA","Q","2006-Q3",3.9231,
"AUT","LTINT","TOT","PC_PA","Q","2006-Q4",3.801633,
"AUT","LTINT","TOT","PC_PA","Q","2007-Q1",4.0467,
"AUT","LTINT","TOT","PC_PA","Q","2007-Q2",4.387333,
"AUT","LTINT","TOT","PC_PA","Q","2007-Q3",4.432766,
"AUT","LTINT","TOT","PC_PA","Q","2007-Q4",4.321533,
"AUT","LTINT","TOT","PC_PA","Q","2008-Q1",4.1807,
"AUT","LTINT","TOT","PC_PA","Q","2008-Q2",4.5397,
"AUT","LTINT","TOT","PC_PA","Q","2008-Q3",4.5733,
"AUT","LTINT","TOT","PC_PA","Q","2008-Q4",4.1404,
"AUT","LTINT","TOT","PC_PA","Q","2009-Q1",4.122967,
"AUT","LTINT","TOT","PC_PA","Q","2009-Q2",4.156034,
"AUT","LTINT","TOT","PC_PA","Q","2009-Q3",3.8507,
"AUT","LTINT","TOT","PC_PA","Q","2009-Q4",3.620833,
"AUT","LTINT","TOT","PC_PA","Q","2010-Q1",3.6494,
"AUT","LTINT","TOT","PC_PA","Q","2010-Q2",3.286933,
"AUT","LTINT","TOT","PC_PA","Q","2010-Q3",2.8803,
"AUT","LTINT","TOT","PC_PA","Q","2010-Q4",3.0889,
"AUT","LTINT","TOT","PC_PA","Q","2011-Q1",3.633033,
"AUT","LTINT","TOT","PC_PA","Q","2011-Q2",3.575233,
"AUT","LTINT","TOT","PC_PA","Q","2011-Q3",2.944333,
"AUT","LTINT","TOT","PC_PA","Q","2011-Q4",3.126033,
"AUT","LTINT","TOT","PC_PA","Q","2012-Q1",3.0464,
"AUT","LTINT","TOT","PC_PA","Q","2012-Q2",2.535333,
"AUT","LTINT","TOT","PC_PA","Q","2012-Q3",2.025667,
"AUT","LTINT","TOT","PC_PA","Q","2012-Q4",1.8773,
"AUT","LTINT","TOT","PC_PA","Q","2013-Q1",1.878033,
"AUT","LTINT","TOT","PC_PA","Q","2013-Q2",1.8107,
"AUT","LTINT","TOT","PC_PA","Q","2013-Q3",2.207567,
"AUT","LTINT","TOT","PC_PA","Q","2013-Q4",2.146733,
"AUT","LTINT","TOT","PC_PA","Q","2014-Q1",1.983533,
"AUT","LTINT","TOT","PC_PA","Q","2014-Q2",1.6796,
"AUT","LTINT","TOT","PC_PA","Q","2014-Q3",1.322133,
"AUT","LTINT","TOT","PC_PA","Q","2014-Q4",0.9639,
"AUT","LTINT","TOT","PC_PA","Q","2015-Q1",0.4524333,
"AUT","LTINT","TOT","PC_PA","Q","2015-Q2",0.6934667,
"AUT","LTINT","TOT","PC_PA","Q","2015-Q3",1.004833,
"AUT","LTINT","TOT","PC_PA","Q","2015-Q4",0.8374333,
"AUT","LTINT","TOT","PC_PA","Q","2016-Q1",0.5834666,
"AUT","LTINT","TOT","PC_PA","Q","2016-Q2",0.3579667,
"AUT","LTINT","TOT","PC_PA","Q","2016-Q3",0.1378333,
"AUT","LTINT","TOT","PC_PA","Q","2016-Q4",0.4222667,
"AUT","LTINT","TOT","PC_PA","Q","2017-Q1",0.5842667,
"AUT","LTINT","TOT","PC_PA","Q","2017-Q2",0.5655667,
"AUT","LTINT","TOT","PC_PA","Q","2017-Q3",0.6421667,
"AUT","LTINT","TOT","PC_PA","Q","2017-Q4",0.5411333,
"AUT","LTINT","TOT","PC_PA","Q","2018-Q1",0.7727666,
"AUT","LTINT","TOT","PC_PA","Q","2018-Q2",0.7431667,
"AUT","LTINT","TOT","PC_PA","Q","2018-Q3",0.6195667,
"AUT","LTINT","TOT","PC_PA","Q","2018-Q4",0.6091334,
"AUT","LTINT","TOT","PC_PA","Q","2019-Q1",0.4266333,
"AUT","LTINT","TOT","PC_PA","Q","2019-Q2",0.1941667,
"AUT","LTINT","TOT","PC_PA","Q","2019-Q3",-0.2599333,
"AUT","LTINT","TOT","PC_PA","Q","2019-Q4",-0.1091333,
"AUT","LTINT","TOT","PC_PA","Q","2020-Q1",-0.146,
"AUT","LTINT","TOT","PC_PA","Q","2020-Q2",-0.06083333,
"AUT","LTINT","TOT","PC_PA","Q","2020-Q3",-0.2819667,
"AUT","LTINT","TOT","PC_PA","Q","2020-Q4",-0.4106,
"AUT","LTINT","TOT","PC_PA","Q","2021-Q1",-0.2283667,
"AUT","LTINT","TOT","PC_PA","Q","2021-Q2",0.02076667,
"AUT","LTINT","TOT","PC_PA","Q","2021-Q3",-0.1437333,
"AUT","LTINT","TOT","PC_PA","Q","2021-Q4",0.0098,
"AUT","LTINT","TOT","PC_PA","Q","2022-Q1",0.4803667,
"AUT","LTINT","TOT","PC_PA","Q","2022-Q2",1.6309,
"AUT","LTINT","TOT","PC_PA","Q","2022-Q3",1.946933,
"AUT","LTINT","TOT","PC_PA","Q","2022-Q4",2.7864,
"AUT","LTINT","TOT","PC_PA","Q","2023-Q1",2.970333,
"BEL","LTINT","TOT","PC_PA","Q","1995-Q1",8.293333,
"BEL","LTINT","TOT","PC_PA","Q","1995-Q2",7.59,
"BEL","LTINT","TOT","PC_PA","Q","1995-Q3",7.186666,
"BEL","LTINT","TOT","PC_PA","Q","1995-Q4",6.853333,
"BEL","LTINT","TOT","PC_PA","Q","1996-Q1",6.64,
"BEL","LTINT","TOT","PC_PA","Q","1996-Q2",6.713333,
"BEL","LTINT","TOT","PC_PA","Q","1996-Q3",6.616667,
"BEL","LTINT","TOT","PC_PA","Q","1996-Q4",6,
"BEL","LTINT","TOT","PC_PA","Q","1997-Q1",5.796667,
"BEL","LTINT","TOT","PC_PA","Q","1997-Q2",5.916667,
"BEL","LTINT","TOT","PC_PA","Q","1997-Q3",5.693333,
"BEL","LTINT","TOT","PC_PA","Q","1997-Q4",5.606667,
"BEL","LTINT","TOT","PC_PA","Q","1998-Q1",5.12,
"BEL","LTINT","TOT","PC_PA","Q","1998-Q2",5.026667,
"BEL","LTINT","TOT","PC_PA","Q","1998-Q3",4.626667,
"BEL","LTINT","TOT","PC_PA","Q","1998-Q4",4.233333,
"BEL","LTINT","TOT","PC_PA","Q","1999-Q1",4.066667,
"BEL","LTINT","TOT","PC_PA","Q","1999-Q2",4.346667,
"BEL","LTINT","TOT","PC_PA","Q","1999-Q3",5.153333,
"BEL","LTINT","TOT","PC_PA","Q","1999-Q4",5.43,
"BEL","LTINT","TOT","PC_PA","Q","2000-Q1",5.733333,
"BEL","LTINT","TOT","PC_PA","Q","2000-Q2",5.58,
"BEL","LTINT","TOT","PC_PA","Q","2000-Q3",5.596667,
"BEL","LTINT","TOT","PC_PA","Q","2000-Q4",5.46,
"BEL","LTINT","TOT","PC_PA","Q","2001-Q1",5.133333,
"BEL","LTINT","TOT","PC_PA","Q","2001-Q2",5.306667,
"BEL","LTINT","TOT","PC_PA","Q","2001-Q3",5.213333,
"BEL","LTINT","TOT","PC_PA","Q","2001-Q4",4.87,
"BEL","LTINT","TOT","PC_PA","Q","2002-Q1",5.2,
"BEL","LTINT","TOT","PC_PA","Q","2002-Q2",5.33,
"BEL","LTINT","TOT","PC_PA","Q","2002-Q3",4.83,
"BEL","LTINT","TOT","PC_PA","Q","2002-Q4",4.586667,
"BEL","LTINT","TOT","PC_PA","Q","2003-Q1",4.18,
"BEL","LTINT","TOT","PC_PA","Q","2003-Q2",3.993333,
"BEL","LTINT","TOT","PC_PA","Q","2003-Q3",4.176667,
"BEL","LTINT","TOT","PC_PA","Q","2003-Q4",4.373333,
"BEL","LTINT","TOT","PC_PA","Q","2004-Q1",4.196667,
"BEL","LTINT","TOT","PC_PA","Q","2004-Q2",4.373333,
"BEL","LTINT","TOT","PC_PA","Q","2004-Q3",4.21,
"BEL","LTINT","TOT","PC_PA","Q","2004-Q4",3.83,
"BEL","LTINT","TOT","PC_PA","Q","2005-Q1",3.64,
"BEL","LTINT","TOT","PC_PA","Q","2005-Q2",3.43,
"BEL","LTINT","TOT","PC_PA","Q","2005-Q3",3.25,
"BEL","LTINT","TOT","PC_PA","Q","2005-Q4",3.393333,
"BEL","LTINT","TOT","PC_PA","Q","2006-Q1",3.536667,
"BEL","LTINT","TOT","PC_PA","Q","2006-Q2",4.003334,
"BEL","LTINT","TOT","PC_PA","Q","2006-Q3",3.916667,
"BEL","LTINT","TOT","PC_PA","Q","2006-Q4",3.803333,
"BEL","LTINT","TOT","PC_PA","Q","2007-Q1",4.06,
"BEL","LTINT","TOT","PC_PA","Q","2007-Q2",4.4,
"BEL","LTINT","TOT","PC_PA","Q","2007-Q3",4.483333,
"BEL","LTINT","TOT","PC_PA","Q","2007-Q4",4.37,
"BEL","LTINT","TOT","PC_PA","Q","2008-Q1",4.236667,
"BEL","LTINT","TOT","PC_PA","Q","2008-Q2",4.573333,
"BEL","LTINT","TOT","PC_PA","Q","2008-Q3",4.663333,
"BEL","LTINT","TOT","PC_PA","Q","2008-Q4",4.196667,
"BEL","LTINT","TOT","PC_PA","Q","2009-Q1",4.133333,
"BEL","LTINT","TOT","PC_PA","Q","2009-Q2",4.026667,
"BEL","LTINT","TOT","PC_PA","Q","2009-Q3",3.803333,
"BEL","LTINT","TOT","PC_PA","Q","2009-Q4",3.643333,
"BEL","LTINT","TOT","PC_PA","Q","2010-Q1",3.703333,
"BEL","LTINT","TOT","PC_PA","Q","2010-Q2",3.44,
"BEL","LTINT","TOT","PC_PA","Q","2010-Q3",3.146667,
"BEL","LTINT","TOT","PC_PA","Q","2010-Q4",3.56,
"BEL","LTINT","TOT","PC_PA","Q","2011-Q1",4.186666,
"BEL","LTINT","TOT","PC_PA","Q","2011-Q2",4.213333,
"BEL","LTINT","TOT","PC_PA","Q","2011-Q3",4.07,
"BEL","LTINT","TOT","PC_PA","Q","2011-Q4",4.463333,
"BEL","LTINT","TOT","PC_PA","Q","2012-Q1",3.78,
"BEL","LTINT","TOT","PC_PA","Q","2012-Q2",3.33,
"BEL","LTINT","TOT","PC_PA","Q","2012-Q3",2.613333,
"BEL","LTINT","TOT","PC_PA","Q","2012-Q4",2.276667,
"BEL","LTINT","TOT","PC_PA","Q","2013-Q1",2.34,
"BEL","LTINT","TOT","PC_PA","Q","2013-Q2",2.18,
"BEL","LTINT","TOT","PC_PA","Q","2013-Q3",2.646667,
"BEL","LTINT","TOT","PC_PA","Q","2013-Q4",2.473333,
"BEL","LTINT","TOT","PC_PA","Q","2014-Q1",2.37,
"BEL","LTINT","TOT","PC_PA","Q","2014-Q2",1.993333,
"BEL","LTINT","TOT","PC_PA","Q","2014-Q3",1.436667,
"BEL","LTINT","TOT","PC_PA","Q","2014-Q4",1.053333,
"BEL","LTINT","TOT","PC_PA","Q","2015-Q1",0.6166667,
"BEL","LTINT","TOT","PC_PA","Q","2015-Q2",0.83,
"BEL","LTINT","TOT","PC_PA","Q","2015-Q3",1.053333,
"BEL","LTINT","TOT","PC_PA","Q","2015-Q4",0.86,
"BEL","LTINT","TOT","PC_PA","Q","2016-Q1",0.7333333,
"BEL","LTINT","TOT","PC_PA","Q","2016-Q2",0.51,
"BEL","LTINT","TOT","PC_PA","Q","2016-Q3",0.1766667,
"BEL","LTINT","TOT","PC_PA","Q","2016-Q4",0.4833333,
"BEL","LTINT","TOT","PC_PA","Q","2017-Q1",0.8133333,
"BEL","LTINT","TOT","PC_PA","Q","2017-Q2",0.7233334,
"BEL","LTINT","TOT","PC_PA","Q","2017-Q3",0.7533333,
"BEL","LTINT","TOT","PC_PA","Q","2017-Q4",0.6,
"BEL","LTINT","TOT","PC_PA","Q","2018-Q1",0.8466667,
"BEL","LTINT","TOT","PC_PA","Q","2018-Q2",0.81,
"BEL","LTINT","TOT","PC_PA","Q","2018-Q3",0.72,
"BEL","LTINT","TOT","PC_PA","Q","2018-Q4",0.8033333,
"BEL","LTINT","TOT","PC_PA","Q","2019-Q1",0.6666667,
"BEL","LTINT","TOT","PC_PA","Q","2019-Q2",0.3433333,
"BEL","LTINT","TOT","PC_PA","Q","2019-Q3",-0.1733333,
"BEL","LTINT","TOT","PC_PA","Q","2019-Q4",-0.06333333,
"BEL","LTINT","TOT","PC_PA","Q","2020-Q1",-0.06,
"BEL","LTINT","TOT","PC_PA","Q","2020-Q2",0.04666667,
"BEL","LTINT","TOT","PC_PA","Q","2020-Q3",-0.21,
"BEL","LTINT","TOT","PC_PA","Q","2020-Q4",-0.37,
"BEL","LTINT","TOT","PC_PA","Q","2021-Q1",-0.2033333,
"BEL","LTINT","TOT","PC_PA","Q","2021-Q2",0.1133333,
"BEL","LTINT","TOT","PC_PA","Q","2021-Q3",-0.05333333,
"BEL","LTINT","TOT","PC_PA","Q","2021-Q4",0.08666667,
"BEL","LTINT","TOT","PC_PA","Q","2022-Q1",0.5466667,
"BEL","LTINT","TOT","PC_PA","Q","2022-Q2",1.67,
"BEL","LTINT","TOT","PC_PA","Q","2022-Q3",1.986667,
"BEL","LTINT","TOT","PC_PA","Q","2022-Q4",2.73,
"BEL","LTINT","TOT","PC_PA","Q","2023-Q1",2.93,
"CAN","LTINT","TOT","PC_PA","Q","1995-Q1",8.964399,
"CAN","LTINT","TOT","PC_PA","Q","1995-Q2",8.111826,
"CAN","LTINT","TOT","PC_PA","Q","1995-Q3",8.08953,
"CAN","LTINT","TOT","PC_PA","Q","1995-Q4",7.481412,
"CAN","LTINT","TOT","PC_PA","Q","1996-Q1",7.318067,
"CAN","LTINT","TOT","PC_PA","Q","1996-Q2",7.759068,
"CAN","LTINT","TOT","PC_PA","Q","1996-Q3",7.452011,
"CAN","LTINT","TOT","PC_PA","Q","1996-Q4",6.390515,
"CAN","LTINT","TOT","PC_PA","Q","1997-Q1",6.491909,
"CAN","LTINT","TOT","PC_PA","Q","1997-Q2",6.543102,
"CAN","LTINT","TOT","PC_PA","Q","1997-Q3",5.944624,
"CAN","LTINT","TOT","PC_PA","Q","1997-Q4",5.592654,
"CAN","LTINT","TOT","PC_PA","Q","1998-Q1",5.407249,
"CAN","LTINT","TOT","PC_PA","Q","1998-Q2",5.339339,
"CAN","LTINT","TOT","PC_PA","Q","1998-Q3",5.386465,
"CAN","LTINT","TOT","PC_PA","Q","1998-Q4",4.983159,
"CAN","LTINT","TOT","PC_PA","Q","1999-Q1",5.096978,
"CAN","LTINT","TOT","PC_PA","Q","1999-Q2",5.323311,
"CAN","LTINT","TOT","PC_PA","Q","1999-Q3",5.656032,
"CAN","LTINT","TOT","PC_PA","Q","1999-Q4",6.088087,
"CAN","LTINT","TOT","PC_PA","Q","2000-Q1",6.286111,
